ชื่อสวนสาธารณะ,สถานที่ตั้ง,ไร่,งาน,ตร.วา,total_area(sqm),เขต,ประเภท,รหัสพื้นที่,lat,lng
สวนสาธารณะศูนย์กีฬาบึงหนองบอน,"ถนนเฉลิมพระเกียรติ ร.9 แขวงหนองบอน
เขตประเวศ",644,1,38.0,1030952.0,เขตประเวศ,สวนหลัก,4420.0,13.6958327337359,100.658860620086
สวนหลวง ร.๙,"ถนนเฉลิมพระเกียรติ ร.9 แขวงหนองบอน
เขตประเวศ",500,0,0.0,800000.0,เขตประเวศ,สวนหลัก,4744.0,13.6867784259115,100.662802070346
สวนเบญจกิติ,ถนนรัชดาภิเษก แขวงคลองเตย เขตคลองเตย,450,0,0.0,720000.0,เขตคลองเตย,สวนหลัก,2834.0,13.729626839021,100.556134591536
สวนวชิรเบญจทัศ,ถนนกำแพงเพชร 3 แขวงลาดยาว เขตจตุจักร,375,0,0.0,600000.0,เขตจตุจักร,สวนหลัก,2248.0,13.8125032232905,100.553912850992
สวนลุมพินี,ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน,360,0,0.0,576000.0,เขตปทุมวัน,สวนหลัก,4645.0,13.7309059465955,100.54167418263
สวนเสรีไทย,ถนนเสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม,208,0,0.0,332800.0,เขตบึงกุ่ม,สวนหลัก,3901.0,13.7860586032795,100.672384299263
สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,ถนนกำแพงเพชร 2 แขวงลาดยาว เขตจตุจักร,196,3,65.0,315060.0,เขตจตุจักร,สวนหลัก,4330.0,13.8058734976041,100.550628080507
สวนจตุจักร,ถนนกำแพงเพชร 3 แขวงจตุจักร เขตจตุจักร,155,0,57.0,248228.0,เขตจตุจักร,สวนหลัก,1930.0,13.8079725426355,100.555694388971
สวนวารีภิรมย์,"ถนนประชาร่วมใจ 47 แขวงทรายกองดินใต้
เขตคลองสามวา",121,3,38.0,194952.0,เขตคลองสามวา,สวนหลัก,12270.0,13.8528617876143,100.771898237963
สวนเฉลิมพระเกียรติพระบาทสมเด็จพระเจ้าอยู่หัวเนื่องในโอกาสพระราชพิธีมหามงคลเฉลิม พระชนมพรรษา7 รอบ,ถนนพระราม 2 แขวงบางบอน เขตบางบอน,100,0,0.0,160000.0,เขตบางบอน,สวนหลัก,17125,13.6505448413612,100.396326817445
สวนนวมินทร์ภิรมย์ (บึงลำพังพวย),ถนนศรีบูรพา แขวงคลองกุ่ม เขตบึงกุ่ม,76,0,39.0,121756.0,เขตบึงกุ่ม,สวนหลัก,5069.0,13.780979367074,100.650630839142
สวนบางแคภิรมย์,ถนนเพชรเกษม 69 แขวงหลักสอง เขตบางแค,67,1,68.0,107872.0,เขตบางแค,สวนหลัก,17124.0,13.6857488139339,100.386498665563
สวนธนบุรีรมย์,ถนนพุทธบูชา แขวงบางมด เขตทุ่งครุ,63,1,20.0,101280.0,เขตทุ่งครุ,สวนหลัก,4394.0,13.6519562730383,100.491286081837
สวนกีฬารามอินทรา,ถนนรามอินทรา ซอย 5 แขวงอนุสาวรีย์ เขตบางเขน,59,0,36.0,94544.0,เขตบางเขน,สวนหลัก,3996.0,13.8788119377696,100.619749314193
สวนทวีวนารมย์,"ถนนเลียบคลองทวีวัฒนา แขวงทวีวัฒนา
เขตทวีวัฒนา",54,0,0.0,86400.0,เขตทวีวัฒนา,สวนหลัก,4393.0,13.7444325905904,100.352505997834
สวน 60 พรรษา สมเด็จพระนางเจ้าฯพระบรมราชินีนาถ,"ถนนเคหะร่มเกล้า แขวงคลองสองต้นนุ่น
เขตลาดกระบัง",52,1,69.0,83876.0,เขตลาดกระบัง,สวนหลัก,,13.7629253,100.7297231
สวนพระนคร (สวนลาดกระบัง),ถนนอ่อนนุช แขวงลาดกระบัง เขตลาดกระบัง,50,0,0.0,80000.0,เขตลาดกระบัง,สวนหลัก,4205.0,13.7192358427911,100.781194335437
สวนวนธรรม (สวนธรรม 70 พรรษามหาราชินี),"ถนนเฉลิมพระเกียรติ ร.9 ซอย 7 (ประดู่)
แขวงหนองบอน เขตประเวศ",38,1,3.0,61212.0,เขตประเวศ,สวนหลัก,,13.6838291,100.6529104
สวนเทียนทะเลพัฒนาพฤกษาภิรมย์,"ถนนบางขุนเทียนชายทะเล แขวงท่าข้าม
เขตบางขุนเทียน",37,0,0.0,59200.0,เขตบางขุนเทียน,สวนหลัก,18865.0,13.6182116765263,100.43933144327
สวนหนองจอก,ถนนเลียบวารี แขวงกระทุ่มราย เขตหนองจอก,35,2,0.0,56800.0,เขตหนองจอก,สวนหลัก,4380.0,13.8531748251228,100.859249300948
สวนวัชราภิรมย์,ถนนรามอินทรา แขวงท่าแร้ง เขตบางเขน,34,0,0.0,54400.0,เขตบางเขน,สวนหลัก,12305.0,13.8520063919993,100.640573285689
สวนสิริภิรมย์,ถนนประชาร่วมใจ แขวงทรายกองดินใต้ เขตมีนบุรี,32,1,33.0,51732.0,เขตมีนบุรี,สวนหลัก,15767.0,13.8290304908356,100.74680360873
สวนวนาภิรมย์ร่มเกล้า,"ถนนกรุงเทพกรีฑาตัดใหม่-ถนนเจ้าคุณทหาร
กับถนนร่มเกล้า เขตลาดกระบัง",30,0,0.0,48000.0,เขตลาดกระบัง,สวนหลัก,17963.0,13.756092387017,100.746531766819
สวนรมณีนาถ,ถนนศิริพงษ์ แขวงสำราญราษฎร์ เขตพระนคร,29,3,72.0,47888.0,เขตพระนคร,สวนหลัก,1961.0,13.7488813471017,100.502620567382
อุทยานเบญจสิริ,ถนนสุขุมวิท แขวงคลองตัน เขตคลองเตย,29,0,0.0,46400.0,เขตคลองเตย,สวนหลัก,2806.0,13.7305366606872,100.56742051128
สวนสาธารณะเฉลิมพระเกียรติ 6รอบ พระชนมพรรษา,ถนนพระรามที่ 3 แขวงบางโคล่ เขตบางคอแหลม,29,0,0.0,46400.0,เขตบางคอแหลม,สวนหลัก,,13.6853471,100.5154734
สวนหลวงพระราม 8,ถนนอรุณอัมรินทร์ แขวงบางยี่ขัน เขตบางพลัด,24,0,0.0,38400.0,เขตบางพลัด,สวนหลัก,4128.0,13.7686344169844,100.49481046348
สวนสราญรมย์,"ถนนเจริญกรุง แขวงพระบรมมหาราชวัง
เขตพระนคร",23,0,0.0,36800.0,เขตพระนคร,สวนหลัก,2525.0,13.7483404884773,100.495211028671
สวนสาธารณะบึงน้ำลาดพร้าว 71,ถนนลาดพร้าว แขวงลาดพร้าว เขตลาดพร้าว,21,0,68.0,33872.0,เขตลาดพร้าว,สวนหลัก,5766.0,13.8180538028293,100.61213304892
